Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-11,13:19:00,Cosmos-2I (63SM),Cosmos 524,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-10-14,06:16:00,Molniya-M /Block L,Molniya-1 n†­29,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-10-17,19:59:00,Cosmos-3M (11K65M),Strela-2M satellite,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-18,11:59:00,Voskhod,Cosmos 525,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-25,10:39:00,Cosmos-2I (63SM),Cosmos 526,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-26,22:05:00,Vostok-2M,Meteor n†­24,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-31,13:29:00,Voskhod,Cosmos 527,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-11-01,12:08:00,Cosmos-3M (11K65M),Cosmos 528 to 535,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-11-03,01:34:00,Cosmos-3M (11K65M),Cosmos 536,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1972-11-15,22:13:00,Scout D1,Explorer 48,Retired,,Success
RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",1972-11-23,06:11:00,N1-L3,7L (Soyuz 7K-LOK No.1),Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-11-25,09:10:00,Voskhod,Cosmos 537,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-11-30,21:49:00,Cosmos-2I (63SM),Intercosmos-8,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1972-12-02,04:39:00,Molniya-M /Block L,Molniya-1 n†­30,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-12-12,06:51:00,Molniya-M /Block L,Molniya-2 n†­31,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-12-14,13:40:00,Voskhod,Cosmos 538,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19,19:24:00,Saturn V,Apollo 17,Retired,"1,160.00",Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1972-12-20,22:20:00,Atlas-SLV3A Agena-D,AFP-827 (Canyon-5),Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-12-21,02:05:00,Cosmos-3M (11K65M),Cosmos 539,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-12-21,17:45:00,Titan III(24)B,OPS 3978,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-12-25,23:05:00,Cosmos-3M (11K65M),Cosmos 540,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-12-27,10:30:00,Soyuz M,Cosmos 541,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-12-28,11:00:00,Vostok-2M,Cosmos 542,Retired,,Partial Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-01-11,10:00:00,Voskhod,Cosmos 543,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-01-20,03:36:00,Cosmos-3M (11K65M),Cosmos 544,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-01-24,11:44:00,Cosmos-2I (63SM),Cosmos 545,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",1973-01-26,11:44:00,Cosmos-3M (11K65M),Cosmos 546,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-02-01,08:30:00,Voskhod,Cosmos 547,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-02-03,05:48:00,Molniya-M /Block L,Molniya-1 n†­32,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-02-08,13:15:00,Voskhod,Cosmos 548,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-02-15,,Molniya-M /Block SO-L,Prognoz n†­3,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-02-28,04:37:00,Cosmos-3M (11K65M),Cosmos 549,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-03-01,12:40:00,Voskhod,Cosmos 550,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-03-06,09:20:00,Voskhod,Cosmos 551,Retired,,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1973-03-06,09:30:00,Atlas-SLV3A Agena-D,AFP-720 (Rhyolite-2),Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-03-09,21:00:00,Titan IIID,KH-9,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-03-20,11:20:00,Vostok-2M,Meteor n†­25,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-03-22,10:00:00,Voskhod,Cosmos 552,Retired,,Success
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1973-04-03,09:00:00,Proton K,Saliout-2,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-04-05,11:11:00,Molniya-M /Block L,Molniya-2 n†­33,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1973-04-06,02:11:00,Atlas-SLV3D Centaur-D1A,Pioneer 11,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-04-12,11:49:00,Cosmos-2I (63SM),Cosmos 553,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-04-19,08:59:00,Voskhod,Cosmos 554,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1973-04-19,10:20:00,Cosmos-2I (63SM),Intercosmos-9,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1973-04-25,09:10:00,Tsyklon-2,Cosmos 556,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-04-25,10:45:00,Voskhod,Cosmos 555,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-05-05,07:00:00,Voskhod,Cosmos 554,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1973-05-14,17:30:00,Saturn V,Skylab 1,Retired,"1,160.00",Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-05-16,16:40:00,Titan III(24)B,OPS 2093,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-05-17,13:19:00,Cosmos-2I (63SM),Cosmos 558,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-05-18,11:00:00,Soyuz U,Cosmos 559,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",1973-05-22,21:37:00,Diamant B,Castor & Pollux,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-05-23,10:30:00,Voskhod,Cosmos 560,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1973-05-24,03:50:00,Cosmos-3MRB (65MRB),BOR-3 Shuttle,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-05-25,09:15:00,Cosmos-3M (11K65M),Zaliv #17,Retired,,Failure
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-05-25,13:00:00,Saturn IB,Skylab 2,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-05-25,13:30:00,Voskhod,Cosmos 561,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-05-29,10:16:00,Vostok-2M,Meteor n†­26,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-06-05,11:29:00,Cosmos-2I (63SM),Cosmos 562,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-06-06,11:30:00,Voskhod,Cosmos 563,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-06-08,15:50:00,Cosmos-3M (11K65M),Cosmos 564 to 571,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-06-10,10:10:00,Voskhod,Cosmos 572,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1973-06-12,07:14:00,Titan III(23)C,DSP-4,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-06-15,06:00:00,Soyuz,Cosmos 573,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-06-20,06:16:00,Cosmos-3M (11K65M),Cosmos 574,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-06-21,13:29:00,Voskhod,Cosmos 575,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-06-26,,Cosmos-3M (11K65M),Tselina-OM #20,Retired,,Failure
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-06-26,,Titan III(24)B,OPS 4018,Retired,,Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-06-27,11:50:00,Soyuz M,Cosmos 576,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-07-04,10:59:00,Voskhod,Zenit-4M n†­50,Retired,,Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-07-11,09:58:00,Molniya-M /Block L,Molniya-2 n†­34,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-07-13,20:24:00,Titan IIID,KH-9,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-07-25,11:30:00,Voskhod,Cosmos 577,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-07-28,11:10:00,Saturn IB,Skylab 3,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-08-01,14:00:00,Voskhod,Cosmos 578,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-08-21,12:30:00,Voskhod,Cosmos 579,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1973-08-21,16:07:00,Titan-III(33)B Agena-D,Jumpseat 3,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-08-22,11:24:00,Cosmos-2I (63SM),Cosmos 580,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1973-08-23,22:57:00,Atlas-SLV3D Centaur-D1A,Intelsat 4 F7,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-08-24,10:59:00,Voskhod,Cosmos 581,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-08-28,10:08:00,Cosmos-3M (11K65M),Cosmos 582,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-08-30,00:07:00,Molniya-M /Block L,Molniya-1 n†­35,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-08-30,10:30:00,Voskhod,Cosmos 583,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-09-06,10:40:00,Voskhod,Cosmos 584,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-09-08,01:50:00,Cosmos-3M (11K65M),Cosmos 585,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-09-14,00:31:00,Cosmos-3M (11K65M),Cosmos 586,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1973-09-18,12:12:00,Feng Bao 1,JSSW-1,Retired,,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-09-21,13:05:00,Soyuz U,Cosmos 587,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-09-27,12:18:00,Soyuz,Soyuz 12,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-09-27,17:15:00,Titan III(24)B,OPS 6275,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-10-02,21:46:00,Cosmos-3M (11K65M),Cosmos 588 to 595,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-03,13:00:00,Voskhod,Cosmos 596,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-06,12:30:00,Voskhod,Cosmos 597,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-10,10:45:00,Voskhod,Cosmos 598,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-10-15,08:45:00,Voskhod,Cosmos 599,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-10-16,12:00:00,Voskhod,Cosmos 600,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-10-16,14:00:00,Cosmos-2I (63SM),Cosmos 601,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-19,10:26:00,Molniya-M /Block L,Molniya-2 n†­36,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-10-20,10:14:00,Voskhod,Cosmos 602,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-10-27,11:09:00,Voskhod,Cosmos 603,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-10-29,14:00:00,Vostok-2M,Cosmos 604,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-10-30,19:00:00,Cosmos-3M (11K65M),Intercosmos-10,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-10-31,18:24:00,Soyuz U,Cosmos 605,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-11-02,13:01:00,Molniya-M /Block 2BL,Cosmos 606,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1973-11-03,05:45:00,Atlas-SLV3D Centaur-D1A,Mariner 10,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-11-10,12:38:00,Voskhod,Cosmos 607,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-11-10,20:09:00,Titan IIID,"KH-9, SSF-B-24 & SSF-C-4",Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-11-14,20:40:00,Molniya-M /Block L,Molniya-1 n†­37,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-11-16,14:01:00,Saturn IB,Skylab 4,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-11-20,12:29:00,Cosmos-2I (63SM),Cosmos 608,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-11-21,10:00:00,Voskhod,Cosmos 609,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-11-27,00:08:00,Cosmos-3M (11K65M),Cosmos 610,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-11-28,09:29:00,Cosmos-2I (63SM),Cosmos 611,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-11-28,11:43:00,Voskhod,Cosmos 612,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-11-30,13:08:00,Molniya-M /Block L,Molniya-1 n†­38,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-12-04,15:00:00,Cosmos-3M (11K65M),Cosmos 614,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-12-13,11:10:00,Cosmos-2I (63SM),Cosmos 615,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1973-12-13,23:57:00,Titan III(23)C,DSCS-II 3&4,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-12-17,12:00:00,Soyuz M,Cosmos 616,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-12-18,11:55:00,Soyuz,Soyuz 13,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-12-19,09:43:00,Cosmos-3M (11K65M),Cosmos 617 to 624,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-12-21,12:30:00,Voskhod,Cosmos 625,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-12-25,11:17:00,Molniya-M /Block L,Molniya-2 n†­39,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-12-26,,Cosmos-3M (11K65M),Oreol-2,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1973-12-27,20:19:00,Tsyklon-2,Cosmos 626,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-12-29,04:12:00,Cosmos-3M (11K65M),Cosmos 627,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-01-17,10:07:00,Cosmos-3M (11K65M),Cosmos 628,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-01-24,15:00:00,Voskhod,Cosmos 629,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1974-01-29,05:29:00,Soyuz,Cosmos 613,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-01-30,11:00:00,Voskhod,Cosmos 630,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1974-02-04,05:00:00,Mu-III H,Tansei 2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-02-06,00:33:00,Cosmos-3M (11K65M),Cosmos 631,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1974-02-11,13:48:00,Titan IIIE,Sphinx & Viking-DS,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-02-12,08:56:00,Voskhod,Cosmos 632,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1974-02-13,18:00:00,Titan III(24)B,OPS 6889,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1974-02-18,10:05:00,Scout D1,San Marco 4,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1974-02-27,11:05:00,Cosmos-2I (63SM),Cosmos 633,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-03-05,11:38:00,Vostok-2M,Meteor n†­27,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1974-03-05,16:05:00,Cosmos-2I (63SM),Cosmos 634,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-03-14,10:29:00,Voskhod,Cosmos 635,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-03-20,08:30:00,Soyuz U,Cosmos 636,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-03-23,14:14:00,Cosmos-3M (11K65M),Cosmos 641 to 648,Retired,,Success
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1974-03-26,13:35:00,Proton K/Block-DM,Cosmos 637,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-04-03,07:30:00,Soyuz U,Cosmos 638,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1974-04-04,08:30:00,Voskhod,Cosmos 639,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1974-04-10,20:20:00,Titan IIID,"KH-9, SSF-B-25, IRCB",Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-04-11,12:22:00,Voskhod,Cosmos 640,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-04-12,08:00:00,Voskhod,Zenit-4MK n†­23,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-04-20,20:53:00,Molniya-M /Block ML,Molniya-1 n†­40,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-04-24,11:50:00,Vostok-2M,Meteor n†­28,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1974-04-26,14:22:00,Molniya-M /Block L,Molniya-2 n†­41,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-04-29,13:29:00,Voskhod,Cosmos 649,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-04-29,17:10:00,Cosmos-3M (11K65M),Cosmos 650,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1974-05-15,07:30:00,Tsyklon-2,Cosmos 651,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-05-15,08:30:00,Soyuz U,Cosmos 652,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-05-15,12:30:00,Voskhod,Cosmos 653,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1974-05-17,06:53:00,Tsyklon-2,Cosmos 654,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1974-05-17,11:00:00,Cosmos-3M (11K65M),Intercosmos-11,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-05-21,06:15:00,Cosmos-3M (11K65M),Cosmos 655,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1974-05-23,12:16:00,Soyuz U,Yantar-2K n†­01,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1974-05-27,07:20:00,Soyuz,Cosmos 656,Retired,,Success
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1974-05-29,08:56:00,Proton K/Block D,Luna-22,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-05-30,12:44:00,Voskhod,Cosmos 657,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1974-05-30,13:00:00,Titan III(23)C,ATS-6,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-06-06,06:20:00,Voskhod,Cosmos 658,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1974-06-06,16:30:00,Titan III(24)B,OPS 1776,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-06-13,12:29:00,Voskhod,Cosmos 659,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-06-18,13:00:00,Cosmos-3M (11K65M),Cosmos 660,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1974-06-21,09:03:00,Cosmos-3M (11K65M),Cosmos 661,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1974-06-26,12:30:00,Cosmos-2I (63SM),Cosmos 662,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1974-06-27,15:39:00,Cosmos-3M (11K65M),Cosmos 663,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-06-29,12:50:00,Soyuz M,Cosmos 664,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1974-06-29,15:59:00,Molniya-M /Block 2BL,Cosmos 665,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1974-07-03,18:51:00,Soyuz,Soyuz 14,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-07-09,14:39:00,Vostok-2M,Meteor-Priroda n†­1,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1974-07-11,05:01:00,Cosmos-3MRB (65MRB),BOR-3 Shuttle,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1974-07-11,11:00:00,Cosmos-2I (63SM),DS-P1-You n†­68,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-07-12,12:15:00,Voskhod,Cosmos 666,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1974-07-12,13:55:00,Feng Bao 1,JSSW-2,Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1974-07-14,05:17:00,Atlas-E/F PTS,P73-3,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-07-23,01:23:00,Molniya-M /Block L,Molniya-2 n†­42,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1974-07-25,07:00:00,Voskhod,Cosmos 667,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1974-07-25,12:00:00,Cosmos-2I (63SM),Cosmos 668,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-07-26,06:59:00,Voskhod,Cosmos 669,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1974-08-06,00:02:00,Soyuz U,Cosmos 670,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-08-07,12:49:00,Voskhod,Cosmos 671,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1974-08-12,,Soyuz U,Cosmos 672,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1974-08-14,15:45:00,Titan III(24)B,OPS 3004,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1974-08-16,03:41:00,Vostok-2M,Cosmos 673,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1974-08-28,20:10:00,Soyuz,Soyuz 15,Retired,,Success
